Country,GEff,RoL,VaA,Pstab,ROW,HCI,HCIR,HAQ,GDP,LD,ED,DI,DIRank
Austria,91.83,97.12,93.6,82.86,3,799,104,88.2,54.53,0.76,0.85,8.29,18
Belgium,80.77,88.46,95.57,61.9,3,849,115,87.9,50.83,0.82,0.89,7.78,36
Bulgaria,65.38,54.81,60.59,66.19,2,591,47,71.4,22.88,0.52,0.61,7.03,52
Switzerland,99.52,99.04,97.05,94.76,2,893,99,91.8,70.38,0.86,0.9,9.03,12
Cyprus,78.85,76.44,82.27,63.33,3,635,63,85.3,40.18,0.76,0.86,7.59,34
Czechia,78.37,81.73,77.83,80.48,3,731,104,84.8,41.12,0.71,0.81,7.69,31
Germany,93.27,92.31,95.07,66.67,3,785,83,86.4,55.06,0.83,0.88,8.68,14
Denmark,99.04,98.08,98.52,83.81,3,855,120,85.7,57.57,0.89,0.91,9.22,7
Estonia,85.58,87.02,88.67,68.1,3,729,94,81.4,36.14,0.85,0.9,7.97,27
Spain,79.81,80.29,82.76,59.05,3,698,94,89.6,41.61,0.79,0.86,8.08,22
Finland,98.56,100,99.01,79.05,3,839,120,89.6,49.336,0.84,0.88,9.14,6
France,89.42,89.42,87.68,58.57,3,796,104,87.9,48.261,0.8,0.88,7.8,24
United Kingdom,90.38,91.35,90.64,63.81,3,728,109,84.6,47.43,0.81,0.87,8.53,16
Croatia,67.31,64.9,64.04,71.9,2,644,94,81.6,28.32,0.62,0.73,6.57,59
Hungary,70.19,68.27,54.68,71.43,1,565,78,79.6,31.81,0.39,0.49,6.63,55
Ireland,86.54,88.94,94.58,82.38,3,669,94,88.4,86.44,0.81,0.88,9.15,8
Iceland,92.31,95.19,94.09,99.52,3,797,104,93.6,58.22,0.8,0.88,9.58,2
Italy,69.23,61.54,79.8,60.95,3,687,73,88.7,43.17,0.79,0.87,7.71,29
Lithuania,81.25,81.25,81.77,72.24,2,622,73,76.6,36.24,0.76,0.82,7.51,42
Latvia,83.65,80.77,74.38,60,3,605,68,77.7,30.55,0.75,0.83,7.38,38
Montenegro,58.65,57.21,46.31,47.62,1,668,52,80.7,21.21,0.35,0.45,5.74,81
Netherlands,96.63,96.15,97.54,75.71,3,883,125,89.5,57.85,0.83,0.88,8.89,9
Norway,97.6,99.52,100,92.38,3,857,120,90.5,64.71,0.85,0.89,9.87,1
Poland,73.08,66.35,70.94,64.28,2,585,57,79.6,32.53,0.55,0.69,6.67,50
Portugal,84.13,84.62,89.16,90.95,3,754,94,84.5,34.83,0.84,0.89,7.84,26
Serbia,53.37,50,45.71,45.24,1,699,57,75.4,17.84,0.27,0.35,6.41,66
Sweden,97.12,71.15,99.51,86.67,3,800,125,90.5,54.13,0.88,0.91,9.39,3
Slovenia,82.21,84.13,80.79,73.81,3,678,94,87.4,39.07,0.77,0.84,7.5,35
Slovakia,74.04,71.15,75.37,72.38,2,722,78,78.6,32.86,0.7,0.81,7.1,47
